autocoe_actionname,autocoe_desktopflowactionid,autocoe_dlpsupport,importsequencenumber,autocoe_moduledisplayname,autocoe_modulename,autocoe_modulesource,autocoe_selectorid,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit
Extract text with OCR,d79b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromScreenWithWindowsOcr,Active,Active,,,4089796,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,d69b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromForegroundWindow,Active,Active,,,4089795,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,f4beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromRegionOfFileWithCustomTesseract,Active,Active,,,4089793,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,d59b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromRegionOfScreenWithWindowsOcr,Active,Active,,,4089792,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,d29b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromRegionOfScreen,Active,Active,,,4089791,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,d39b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromScreen,Active,Active,,,4089790,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,d49b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromForegroundWindowWithWindowsOcr,Active,Active,,,4089789,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,f3beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromRegionOfForegroundWindow,Active,Active,,,4089788,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,eebeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromRegionOfFileWithTesseract,Active,Active,,,4089787,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,cf9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromFileWithTesseract,Active,Active,,,4089785,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,eabeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromRegionOfForegroundWindowWithTesseract,Active,Active,,,4089784,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,ebbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromFileWithCustomTesseract,Active,Active,,,4089783,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,e9beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromForegroundWindowRelativeToImageWithWindowsOcr,Active,Active,,,4089782,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,e8beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromFileRelativeToImageWithCustomTesseract,Active,Active,,,4089781,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,d09b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromRegionOfForegroundWindowWithCustomTesseract,Active,Active,,,4089780,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,d19b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromFileRelativeToImageWithTesseract,Active,Active,,,4089779,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,dfbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromScreenRelativeToImageWithWindowsOcr,Active,Active,,,4089776,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,cd9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromScreenRelativeToImage,Active,Active,,,4089775,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,ce9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.WaitAndExtractTextFromForegroundWindowRelativeToImage,Active,Active,,,4089774,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,ddbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromForegroundWindowRelativeToImage,Active,Active,,,4089773,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,dbbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromForegroundWindowWithCustomTesseract,Active,Active,,,4089772,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,dabeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.WaitAndExtractTextFromScreenRelativeToImageWithWindowsOcr,Active,Active,,,4089771,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,dcbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.WaitAndExtractTextFromForegroundWindowRelativeToImageWithWindowsOcr,Active,Active,,,4089770,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,cc9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromForegroundWindowWithTesseract,Active,Active,,,4089769,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,cebeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromScreenWithTesseract,Active,Active,,,4089766,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,cdbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromRegionOfScreenWithTesseract,Active,Active,,,4089765,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,cb9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromRegionOfScreenWithCustomTesseract,Active,Active,,,4089764,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,c99b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromScreenWithCustomTesseract,Active,Active,,,4089763,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,ca9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.WaitAndExtractTextFromScreenRelativeToImage,Active,Active,,,4089762,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,ccbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromForegroundWindowRelativeToImageWithCustomTesseract,Active,Active,,,4089761,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,cbbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromForegroundWindowRelativeToImageWithTesseract,Active,Active,,,4089760,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,c89b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.WaitAndExtractTextFromForegroundWindowRelativeToImageWithCustomTesseract,Active,Active,,,4089759,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,b2beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromScreenRelativeToImageWithCustomTesseract,Active,Active,,,4089753,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,b1beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.ExtractTextFromScreenRelativeToImageWithTesseract,Active,Active,,,4089752,40e6dccd-3039-ec11-b6e5-00224805ed01
Create MODI OCR engine,b0beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.CreateMODIEngine,Active,Active,,,4089751,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,afbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.WaitAndExtractTextFromScreenRelativeToImageWithCustomTesseract,Active,Active,,,4089750,40e6dccd-3039-ec11-b6e5-00224805ed01
Create Tesseract OCR engine,c79b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.CreateTesseractEngine.CreateTesseractEngine,Active,Active,,,4089748,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,c69b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.WaitAndExtractTextFromScreenRelativeToImageWithTesseract,Active,Active,,,4089747,40e6dccd-3039-ec11-b6e5-00224805ed01
Create Tesseract OCR engine,c59b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.CreateTesseractEngine.CreateCustomTesseractEngine,Active,Active,,,4089746,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract text with OCR,c49b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.ExtractTextWithOCR.WaitAndExtractTextFromForegroundWindowRelativeToImageWithTesseract,Active,Active,,,4089745,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),c39b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionRelativeToImageOnScreenToDisappearWithWindowsOcr,Active,Active,,,4089741,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),c29b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionOfScreenToDisappearWithWindowsOcr,Active,Active,,,4089740,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),c19b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionRelativeToImageOnScreenToAppearWithWindowsOcr,Active,Active,,,4089738,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),be9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnScreenToDisappearWithWindowsOcr,Active,Active,,,4089737,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),bf9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionRelativeToImageOnScreenToAppear,Active,Active,,,4089736,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),c09b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionOfScreenToDisappear,Active,Active,,,4089735,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),9cbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnScreenToDisappear,Active,Active,,,4089734,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),9dbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionRelativeToImageOnScreenToDisappear,Active,Active,,,4089733,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),bd9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionRelativeToImageOnScreenToDisappearWithCustomTesseract,Active,Active,,,4089732,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),99beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionOfScreenToAppearWithWindowsOcr,Active,Active,,,4089731,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),bc9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnScreenToAppearWithWindowsOcr,Active,Active,,,4089730,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),bb9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnScreenToAppear,Active,Active,,,4089729,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),9abeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionOfScreenToDisappearWithTesseract,Active,Active,,,4089728,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),ba9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionOfScreenToAppear,Active,Active,,,4089727,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),96beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionOfScreenToDisappearWithCustomTesseract,Active,Active,,,4089726,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),97beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionRelativeToImageOnScreenToDisappearWithTesseract,Active,Active,,,4089725,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),b99b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnScreenToDisappearWithCustomTesseract,Active,Active,,,4089724,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),8dbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnScreenToAppearWithCustomTesseract,Active,Active,,,4089722,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),8fbeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionRelativeToImageOnScreenToAppearWithCustomTesseract,Active,Active,,,4089721,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),b89b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnScreenToDisappearWithTesseract,Active,Active,,,4089720,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),b79b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionOfScreenToAppearWithTesseract,Active,Active,,,4089719,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),b69b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionOfScreenToAppearWithCustomTesseract,Active,Active,,,4089718,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),b59b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnSubregionRelativeToImageOnScreenToAppearWithTesseract,Active,Active,,,4089717,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for text on screen (OCR),8ebeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.WaitForTextOnScreen.TextOnScreenToAppearWithTesseract,Active,Active,,,4089716,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),b49b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionRelativeToImageOnScreenDoesNotExistWithWindowsOcr,Active,Active,,,4089715,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),8abeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionRelativeToImageOnScreenExistsWithWindowsOcr,Active,Active,,,4089714,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),b39b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionOfScreenDoesNotExistWithWindowsOcr,Active,Active,,,4089713,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),88beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionRelativeToImageOnScreenExists,Active,Active,,,4089712,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),89beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnScreenDoesNotExistWithWindowsOcr,Active,Active,,,4089711,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),87beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnScreenDoesNotExist,Active,Active,,,4089710,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),b29b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionOfScreenDoesNotExist,Active,Active,,,4089709,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),b19b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionRelativeToImageOnScreenDoesNotExist,Active,Active,,,4089708,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),b09b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionRelativeToImageOnScreenDoesNotExistWithTesseract,Active,Active,,,4089704,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),af9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnScreenExistsWithWindowsOcr,Active,Active,,,4089703,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),ab9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionOfScreenExistsWithWindowsOcr,Active,Active,,,4089702,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),ae9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnScreenExists,Active,Active,,,4089701,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),ad9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionOfScreenDoesNotExistWithCustomTesseract,Active,Active,,,4089700,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),ac9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionOfScreenDoesNotExistWithTesseract,Active,Active,,,4089699,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),72beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionRelativeToImageOnScreenDoesNotExistWithCustomTesseract,Active,Active,,,4089698,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),71beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionOfScreenExists,Active,Active,,,4089697,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),6abeace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnScreenDoesNotExistWithTesseract,Active,Active,,,4089692,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),69beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionRelativeToImageOnScreenExistsWithCustomTesseract,Active,Active,,,4089691,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),aa9b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnScreenExistsWithCustomTesseract,Active,Active,,,4089690,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),a89b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnScreenDoesNotExistWithCustomTesseract,Active,Active,,,4089689,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),a99b09e1-e2ce-ec11-a7b5-002248040e15,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionRelativeToImageOnScreenExistsWithTesseract,Active,Active,,,4089688,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),68beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionOfScreenExistsWithTesseract,Active,Active,,,4089687,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),66beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnSubregionOfScreenExistsWithCustomTesseract,Active,Active,,,4089686,40e6dccd-3039-ec11-b6e5-00224805ed01
If text on screen (OCR),67beace1-e2ce-ec11-a7b5-00224804cf74,true,,OCR,OCR,Microsoft,OCR.IfTextOnScreen.TextOnScreenExistsWithTesseract,Active,Active,,,4089685,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for mouse,60beace1-e2ce-ec11-a7b5-00224804cf74,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.WaitForMouse.WaitForMouseToBecome,Active,Active,,,4089680,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for shortcut key,61beace1-e2ce-ec11-a7b5-00224804cf74,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.WaitForShortcutKey.WaitForShortcutKeyAndProceedOnTimeout,Active,Active,,,4089679,40e6dccd-3039-ec11-b6e5-00224805ed01
Press/release key,5fbeace1-e2ce-ec11-a7b5-00224804cf74,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.PressReleaseKey.PressKey,Active,Active,,,4089678,40e6dccd-3039-ec11-b6e5-00224805ed01
Get keyboard identifier,a59b09e1-e2ce-ec11-a7b5-002248040e15,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.GetKeyboardLayout,Active,Active,,,4089677,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for mouse,5ebeace1-e2ce-ec11-a7b5-00224804cf74,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.WaitForMouse.WaitForMouseToBecomeDifferentThan,Active,Active,,,4089676,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for shortcut key,a79b09e1-e2ce-ec11-a7b5-002248040e15,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.WaitForShortcutKey.WaitForShortcutKey,Active,Active,,,4089675,40e6dccd-3039-ec11-b6e5-00224805ed01
Set key state,a49b09e1-e2ce-ec11-a7b5-002248040e15,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.SetKeyState,Active,Active,,,4089674,40e6dccd-3039-ec11-b6e5-00224805ed01
Press/release key,a69b09e1-e2ce-ec11-a7b5-002248040e15,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.PressReleaseKey.ReleaseKey,Active,Active,,,4089673,40e6dccd-3039-ec11-b6e5-00224805ed01
Send keys,9e9b09e1-e2ce-ec11-a7b5-002248040e15,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.SendKeys.FocusAndSendKeysByControl,Active,Active,,,4089671,40e6dccd-3039-ec11-b6e5-00224805ed01
Send keys,a39b09e1-e2ce-ec11-a7b5-002248040e15,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.SendKeys.FocusAndSendKeysByTitleClass,Active,Active,,,4089669,40e6dccd-3039-ec11-b6e5-00224805ed01
Send keys,a29b09e1-e2ce-ec11-a7b5-002248040e15,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.SendKeys.FocusAndSendKeys,Active,Active,,,4089668,40e6dccd-3039-ec11-b6e5-00224805ed01
Send mouse click,a19b09e1-e2ce-ec11-a7b5-002248040e15,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.SendMouseClick.ClickAt,Active,Active,,,4089667,40e6dccd-3039-ec11-b6e5-00224805ed01
Move mouse to text on screen (OCR),9d9b09e1-e2ce-ec11-a7b5-002248040e15,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.MoveMouseToTextOnScreenWithOCR.WaitForTextToAppearAndClickTextOnSubregionRelativeToImageOfScreenWithWindowsOcr,Active,Active,,,4089666,40e6dccd-3039-ec11-b6e5-00224805ed01
Send mouse click,51beace1-e2ce-ec11-a7b5-00224804cf74,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.SendMouseClick.Click,Active,Active,,,4089664,40e6dccd-3039-ec11-b6e5-00224805ed01
Move mouse to text on screen (OCR),a09b09e1-e2ce-ec11-a7b5-002248040e15,true,,Mouse and keyboard,MouseAndKeyboard,Microsoft,MouseAndKeyboard.MoveMouseToTextOnScreenWithOCR.WaitForTextToAppearAndClickTextOnSubregionRelativeToImageOfScreenWithOCR,Active,Active,,,4089663,40e6dccd-3039-ec11-b6e5-00224805ed01
